keys,ko,en,fr,it,es,ja,el,zh,zh_TW,ru,pt,pl,de
relic.scarab_talisman.lore,똥에서 태양을 빚는다는 벌레. 이 무덤엔 떠오를 태양이 없다.,"The beetle said to shape the sun from dung. In this tomb, no sun will rise.","Le scarabée qui façonnerait le soleil de la fiente. Dans cette tombe, nul soleil ne se lèvera.",Lo scarabeo che plasmerebbe il sole dallo sterco. In questa tomba non sorgerà sole.,El escarabajo que moldearía el sol del estiércol. En esta tumba no saldrá sol alguno.,糞から太陽を形づくるという甲虫。この墓には、昇る太陽がない。,"Ο σκαθάρι που πλάθει τον ήλιο απ' την κοπριά, λένε. Σε τούτο τον τάφο, ήλιος δεν θ' ανατείλει.",传说能从粪中塑出太阳的甲虫。可这墓中，没有会升起的太阳。,傳說能從糞中塑出太陽的甲蟲。可這墓中，沒有會升起的太陽。,"Жук, что, по преданию, лепит солнце из навоза. В этой гробнице солнце не взойдёт.","O besouro que moldaria o sol do esterco. Nesta tumba, sol nenhum nascerá.","Żuk, co rzekomo lepi słońce z gnoju. W tym grobowcu słońce nie wzejdzie.","Der Käfer, der die Sonne aus Dung formen soll. In diesem Grab geht keine Sonne auf."
relic.rune_of_fate.lore,운명을 새긴 돌. 새겨진 운명은 단 한 마디 — '다시.',A stone graven with fate. The fate it bears is a single word: again.,Une pierre où le destin est gravé. Le destin qu'elle porte tient en un mot : encore.,Una pietra incisa col destino. Il destino che reca è una sola parola: ancora.,Una piedra grabada con el destino. El destino que porta es una sola palabra: otra vez.,運命を刻んだ石。刻まれた運命はただ一言――「再び」。,Πέτρα χαραγμένη με μοίρα. Η μοίρα που φέρει είναι μια λέξη: ξανά.,刻着命运的石。所刻的命运只有一词——「再来」。,刻著命運的石。所刻的命運只有一詞——「再來」。,Камень с высеченной судьбой. Судьба эта — единственное слово: снова.,Uma pedra gravada com o destino. O destino que carrega é uma só palavra: de novo.,"Kamień wyryty losem. Los, który niesie, to jedno słowo: znów.","Ein Stein, in den Schicksal geritzt ward. Das Schicksal ist ein einziges Wort: wieder."
relic.mjolnir_shard.lore,신의 망치에서 떨어진 조각. 그 신은 이미 스러졌다.,A sliver fallen from a god's hammer. That god has already perished.,Un éclat tombé du marteau d'un dieu. Ce dieu a déjà péri.,Una scheggia caduta dal martello di un dio. Quel dio è già perito.,Una esquirla caída del martillo de un dios. Ese dios ya ha perecido.,神の鎚から落ちた欠片。その神は、もう滅びている。,Θραύσμα πεσμένο απ' το σφυρί ενός θεού. Ο θεός αυτός έχει ήδη χαθεί.,从神之锤上落下的碎片。那位神，早已殒灭。,從神之錘上落下的碎片。那位神，早已殞滅。,"Осколок, отколовшийся от молота бога. Тот бог уже сгинул.",Um estilhaço caído do martelo de um deus. Esse deus já pereceu.,Odłamek strącony z młota boga. Ów bóg już zginął.,"Ein Splitter, vom Hammer eines Gottes gefallen. Jener Gott ist längst untergegangen."
relic.idun_apple.lore,늙지 않게 하는 사과. 죽지도 못하게 하는 사과.,"An apple that keeps you from aging — and from dying, too.",Une pomme qui empêche de vieillir — et de mourir aussi.,Una mela che impedisce d'invecchiare — e anche di morire.,Una manzana que impide envejecer — y también morir.,老いさせぬ林檎。そして、死なせもせぬ林檎。,Μήλο που σ' εμποδίζει να γερνάς — και να πεθαίνεις επίσης.,令人不老的苹果。也令人不得死的苹果。,令人不老的蘋果。也令人不得死的蘋果。,"Яблоко, что не даёт стареть — и умереть тоже.",Uma maçã que impede de envelhecer — e de morrer também.,"Jabłko, co nie pozwala się starzeć — ani umrzeć.","Ein Apfel, der vom Altern bewahrt — und vom Sterben auch."
relic.ghost_talisman.lore,원귀를 묶어두는 부적. 무엇이 묶여 있는지 자세히 보라.,A talisman that binds a vengeful ghost. Look closely at what it binds.,Un talisman qui lie un esprit vengeur. Regarde de près ce qu'il lie.,Un talismano che lega uno spettro vendicativo. Guarda da vicino ciò che lega.,Un talismán que ata a un espectro vengativo. Mira de cerca lo que ata.,怨霊を縛る護符。何が縛られているのか、よく見るがいい。,Φυλαχτό που δένει ένα εκδικητικό φάντασμα. Κοίτα προσεκτικά τι δένει.,束缚怨灵的护符。仔细看看，被缚的究竟是什么。,束縛怨靈的護符。仔細看看，被縛的究竟是什麼。,"Талисман, что сковывает мстительный дух. Вглядись, что он сковывает.",Um talismã que prende um espectro vingativo. Olha de perto o que ele prende.,"Talizman, co wiąże mściwego ducha. Przyjrzyj się, co wiąże.","Ein Talisman, der einen rachsüchtigen Geist bindet. Sieh genau, was er bindet."
relic.tengu_feather.lore,"오만한 자의 깃털. 싸울수록 강해지고, 강해질수록 잊는다.",A feather of the proud. The more it fights the stronger it grows — and the more it forgets.,"Une plume de l'orgueilleux. Plus elle combat, plus elle se renforce — et plus elle oublie.",Una piuma del superbo. Più combatte più si rafforza — e più dimentica.,Una pluma del soberbio. Cuanto más lucha más fuerte se vuelve — y más olvida.,傲慢な者の羽。戦うほど強くなり、強くなるほど忘れてゆく。,"Φτερό του υπερήφανου. Όσο πολεμά, τόσο δυναμώνει — και τόσο ξεχνά.",傲慢者的羽。越战越强，越强越忘。,傲慢者的羽。越戰越強，越強越忘。,"Перо гордеца. Чем больше бьётся, тем сильнее — и тем больше забывает.",A pena do soberbo. Quanto mais luta mais forte fica — e mais esquece.,"Pióro pysznego. Im więcej walczy, tym silniejsze — i tym więcej zapomina.","Eine Feder des Hochmütigen. Je mehr sie kämpft, desto stärker — und desto mehr vergisst sie."
relic.orochi_scale.lore,여덟 머리 뱀의 비늘. 머리를 베어도 다시 돋는다.,"A scale of the eight-headed serpent. Sever a head, and another grows.","Une écaille du serpent à huit têtes. Tranche une tête, une autre repousse.","Una scaglia del serpente a otto teste. Recidi una testa, ne ricresce un'altra.",Una escama de la serpiente de ocho cabezas. Corta una cabeza y crece otra.,八つ首の蛇の鱗。首を斬っても、また生える。,"Λέπι του οχτακέφαλου φιδιού. Κόψε ένα κεφάλι, φυτρώνει άλλο.",八岐大蛇之鳞。斩去一头，又生一头。,八岐大蛇之鱗。斬去一頭，又生一頭。,Чешуя восьмиглавого змея. Отруби голову — вырастет другая.,"Uma escama da serpente de oito cabeças. Corta uma cabeça, outra cresce.","Łuska ośmiogłowego węża. Odetnij łeb, odrośnie kolejny.","Eine Schuppe der achtköpfigen Schlange. Schlag einen Kopf ab, ein neuer wächst."
relic.flag_of_orleans.lore,"성녀가 들었던 깃발. 깃발은 남고, 성녀는 불탔다.",The banner the Saint once raised. The banner remains; the Saint burned.,La bannière que la Sainte brandit jadis. La bannière demeure ; la Sainte brûla.,Il vessillo che la Santa un tempo levò. Il vessillo resta; la Santa bruciò.,El estandarte que la Santa alzó un día. El estandarte queda; la Santa ardió.,聖女が掲げた旗。旗は残り、聖女は焼かれた。,Το λάβαρο που ύψωσε κάποτε η Αγία. Το λάβαρο μένει· η Αγία κάηκε.,圣女曾高举的旗帜。旗帜尚存，圣女已焚。,聖女曾高舉的旗幟。旗幟尚存，聖女已焚。,"Знамя, что некогда подняла Святая. Знамя осталось; Святая сгорела.",O estandarte que a Santa um dia ergueu. O estandarte fica; a Santa ardeu.,"Sztandar, który Święta niegdyś wzniosła. Sztandar trwa; Święta spłonęła.","Das Banner, das die Heilige einst erhob. Das Banner bleibt; die Heilige verbrannte."
relic.saints_tears.lore,재판 전날 밤의 눈물. 끝내 들어준 이는 없었다.,Tears from the night before the trial. None ever answered them.,Des larmes de la nuit d'avant le procès. Nul ne les exauça jamais.,Lacrime della notte prima del processo. Nessuno le esaudì mai.,Lágrimas de la noche anterior al juicio. Nadie las atendió jamás.,裁きの前夜の涙。遂に応えた者はいなかった。,Δάκρυα της νύχτας πριν τη δίκη. Κανείς δεν τ' απάντησε ποτέ.,受审前夜的泪。终究无人回应。,受審前夜的淚。終究無人回應。,Слёзы ночи перед судом. На них так никто и не ответил.,Lágrimas da noite anterior ao julgamento. Ninguém jamais as atendeu.,Łzy z nocy przed procesem. Nikt nigdy ich nie wysłuchał.,Tränen aus der Nacht vor dem Prozess. Niemand erhörte sie je.
relic.thousand_horses.lore,"한 사람이 몰던 군세. 그 군세도, 그 사람도 흙이 되었다.",An army one man commanded. The army and the man both turned to dust.,Une armée qu'un seul homme menait. L'armée et l'homme sont tous deux poussière.,Un esercito che un solo uomo guidava. L'esercito e l'uomo divennero entrambi polvere.,Un ejército que un solo hombre mandaba. El ejército y el hombre se hicieron polvo.,一人が率いた軍勢。その軍も、その人も、土となった。,Στρατός που οδηγούσε ένας άνθρωπος. Ο στρατός κι ο άνθρωπος έγιναν χώμα.,一人统率的千军万马。军队与那人，皆已化作尘土。,一人統率的千軍萬馬。軍隊與那人，皆已化作塵土。,"Войско, которым правил один человек. И войско, и человек обратились в прах.",Um exército que um só homem comandava. O exército e o homem viraram pó.,"Wojsko, którym dowodził jeden człowiek. Wojsko i człowiek obrócili się w proch.","Ein Heer, das ein Mann befehligte. Das Heer und der Mann wurden beide zu Staub."
relic.conquerors_whip.lore,멈추지 못하는 채찍. 정복할 땅이 없어도 휘둘러진다.,A whip that cannot stop. It cracks even when no land is left to conquer.,Un fouet qui ne peut s'arrêter. Il claque même quand nulle terre ne reste à conquérir.,Una frusta che non sa fermarsi. Schiocca anche quando non resta terra da conquistare.,Un látigo que no puede parar. Restalla aun cuando no queda tierra que conquistar.,止まれぬ鞭。征服する地がなくとも振るわれる。,Μαστίγιο που δεν σταματά. Χτυπά ακόμη κι όταν δεν μένει γη να κατακτηθεί.,无法停下的鞭。纵无可征之地，仍要挥下。,無法停下的鞭。縱無可征之地，仍要揮下。,"Кнут, что не может остановиться. Он хлещет, даже когда не осталось земель для завоевания.",Um chicote que não consegue parar. Estala mesmo sem terra alguma a conquistar.,"Bicz, co nie umie się zatrzymać. Trzaska, choć nie zostało ziemi do podboju.","Eine Peitsche, die nicht innehalten kann. Sie knallt, auch wenn kein Land mehr zu erobern bleibt."
relic.niten_ichi_ryu.lore,"두 칼의 비전. '비울 줄 알아야 한다' 적혔으나, 결코 비워지지 않는다.","The doctrine of two blades. 'One must learn to empty,' it reads — yet it never empties.","La doctrine des deux lames. « Il faut savoir se vider », lit-on — pourtant elle ne se vide jamais.","La dottrina delle due lame. «Bisogna saper svuotarsi», recita — eppure non si svuota mai.","La doctrina de las dos hojas. «Hay que saber vaciarse», reza — y sin embargo nunca se vacía.",二刀の秘伝。「空ずるを知るべし」と記されど、決して空ずることがない。,"Το δόγμα των δύο σπαθιών. «Πρέπει να μάθεις ν' αδειάζεις», γράφει — μα δεν αδειάζει ποτέ.",双刀的秘传。书曰「须知虚空之道」——可它从不虚空。,雙刀的秘傳。書曰「須知虛空之道」——可它從不虛空。,"Доктрина двух клинков. «Должно научиться опустошаться», — гласит она, — но никогда не пустеет.","A doutrina das duas lâminas. «É preciso saber esvaziar-se», diz — mas nunca se esvazia.","Doktryna dwóch ostrzy. „Trzeba umieć się opróżnić”, głosi — a jednak nigdy nie pustoszeje.","Die Lehre der zwei Klingen. „Man muss sich leeren lernen“, steht da — doch sie leert sich nie."
relic.gorin_sho_relic.lore,동굴에서 쓴 검의 책. 마지막 장은 비어 있다 — 비어서 완성이다.,"The book of the blade, written in a cave. Its last page is blank — and blank, it is complete.","Le livre de la lame, écrit dans une grotte. Sa dernière page est vierge — et vierge, il est achevé.","Il libro della lama, scritto in una grotta. L'ultima pagina è vuota — e vuota, è compiuto.","El libro de la hoja, escrito en una cueva. Su última página está en blanco — y en blanco, está completo.",洞窟で記した剣の書。最後の頁は白紙――白紙のままで完成である。,"Το βιβλίο της λεπίδας, γραμμένο σε σπηλιά. Η τελευταία σελίδα κενή — και κενή, είναι ολοκληρωμένο.",在洞中写就的剑之书。末页空白——空白，方为圆满。,在洞中寫就的劍之書。末頁空白——空白，方為圓滿。,"Книга клинка, написанная в пещере. Её последняя страница пуста — и пустой она завершена.","O livro da lâmina, escrito numa caverna. A última página está em branco — e em branco, está completo.","Księga ostrza, spisana w jaskini. Jej ostatnia strona jest pusta — i pusta, jest pełna.","Das Buch der Klinge, in einer Höhle geschrieben. Die letzte Seite ist leer — und leer ist es vollendet."
relic.dharma_seal.lore,법을 봉인한 인장. 봉인된 가르침은 한 글자였다 — '멈추라.',A seal of the Dharma. The teaching it sealed was a single word: stop.,Un sceau du Dharma. L'enseignement qu'il scella tenait en un mot : arrête.,Un sigillo del Dharma. L'insegnamento che sigillò era una sola parola: fermati.,Un sello del Dharma. La enseñanza que selló era una sola palabra: detente.,法を封じた印。封じられた教えは一字だった――「止まれ」。,Σφραγίδα του Ντάρμα. Η διδαχή που σφράγισε ήταν μια λέξη: σταμάτα.,封印佛法的印。被封的教诲只有一字——「止」。,封印佛法的印。被封的教誨只有一字——「止」。,"Печать Дхармы. Учение, что она запечатала, — одно слово: остановись.",Um selo do Dharma. O ensino que selou era uma só palavra: para.,"Pieczęć Dharmy. Nauka, którą zapieczętowała, to jedno słowo: zatrzymaj się.","Ein Siegel des Dharma. Die Lehre, die es versiegelte, war ein einziges Wort: halt ein."
relic.dharma_drum.lore,잠든 중생을 깨우는 북. 깨어난 자는 다시 잠들지 못한다.,A drum that wakes the sleeping. Those it wakes can sleep no more.,Un tambour qui éveille les dormeurs. Ceux qu'il éveille ne peuvent plus dormir.,Un tamburo che desta i dormienti. Chi è destato non può più dormire.,Un tambor que despierta a los dormidos. Quienes despierta ya no pueden dormir.,眠れる衆生を覚ます鼓。覚めた者は、二度と眠れぬ。,Τύμπανο που ξυπνά τους κοιμισμένους. Όσοι ξυπνούν δεν κοιμούνται πια.,唤醒沉睡众生的鼓。被唤醒者，再不能入眠。,喚醒沉睡眾生的鼓。被喚醒者，再不能入眠。,"Барабан, что будит спящих. Разбуженные им уже не могут уснуть.",Um tambor que desperta os adormecidos. Os que desperta não podem mais dormir.,"Bęben, co budzi śpiących. Ci, których zbudzi, nie zasną już więcej.","Eine Trommel, die Schlafende weckt. Wen sie weckt, der kann nicht mehr schlafen."
relic.prayer_beads.lore,한 알마다 기도가 담긴 염주. 기도는 모두 같은 말이다 — 끝나기를.,"Beads, a prayer in each. Every prayer is the same plea: let it end.","Un chapelet, une prière par grain. Chaque prière est la même supplique : que cela cesse.","Un rosario, una preghiera per grano. Ogni preghiera è la stessa supplica: che finisca.","Un rosario, una plegaria por cuenta. Cada plegaria es la misma súplica: que acabe.",一珠ごとに祈りを込めた念珠。祈りはみな同じ言葉だ――終わらんことを。,"Χάντρες, μια προσευχή στην καθεμιά. Κάθε προσευχή είναι η ίδια ικεσία: ας τελειώσει.",颗颗皆含一愿的念珠。所有的祈愿都是同一句——愿其终结。,顆顆皆含一願的念珠。所有的祈願都是同一句——願其終結。,"Чётки, в каждой бусине — молитва. Все молитвы об одном: пусть это кончится.","Um rosário, uma prece em cada conta. Toda prece é a mesma súplica: que termine.","Różaniec, w każdym koralu modlitwa. Każda modlitwa to ta sama prośba: niech się skończy.","Gebetsperlen, in jeder ein Gebet. Jedes Gebet ist dieselbe Bitte: lass es enden."
relic.yin_yang_mirror.lore,삶과 죽음을 비추는 거울. 너는 어느 쪽에도 비치지 않는다.,A mirror reflecting life and death. You appear in neither.,Un miroir reflétant la vie et la mort. Tu n'apparais dans aucune des deux.,Uno specchio che riflette vita e morte. Tu non compari in nessuna delle due.,Un espejo que refleja vida y muerte. Tú no apareces en ninguna.,生と死を映す鏡。お前はそのどちらにも映らない。,Καθρέφτης που αντανακλά ζωή και θάνατο. Εσύ δεν φαίνεσαι σε καμία.,映照生与死的镜。你在两者中都照不出。,映照生與死的鏡。你在兩者中都照不出。,"Зеркало, отражающее жизнь и смерть. Ты не отражаешься ни в одной.",Um espelho que reflete vida e morte. Tu não apareces em nenhuma.,Lustro odbijające życie i śmierć. Ty nie pojawiasz się w żadnym.,"Ein Spiegel, der Leben und Tod zeigt. In keinem von beiden erscheinst du."
relic.five_elements_jade.lore,다섯 기운이 순환하는 옥. 순환은 멈추는 법을 모른다.,Jade where the five elements cycle. The cycle knows no way to stop.,Un jade où circulent les cinq éléments. Le cycle ne connaît nul moyen de cesser.,Una giada in cui i cinque elementi circolano. Il ciclo non sa come fermarsi.,Un jade donde circulan los cinco elementos. El ciclo no sabe cómo detenerse.,五行が巡る玉。その巡りは、止まる術を知らない。,Νεφρίτης όπου κυκλοφορούν τα πέντε στοιχεία. Ο κύκλος δεν ξέρει πώς να σταματήσει.,五行循环不息的玉。这循环，不知如何停下。,五行循環不息的玉。這循環，不知如何停下。,"Нефрит, в котором кружат пять стихий. Круговорот не знает, как остановиться.",Um jade onde os cinco elementos circulam. O ciclo não sabe como parar.,"Jadeit, w którym krążą pięć żywiołów. Cykl nie zna sposobu, by ustać.","Jade, in der die fünf Elemente kreisen. Der Kreislauf kennt kein Innehalten."
relic.immortal_crane_feather.lore,"신선을 태우던 학의 깃털. 학은 떠났고, 깃털만 남아 운다.","A feather of the crane that bore immortals. The crane is gone; the feather alone remains, keening.","Une plume de la grue qui portait les immortels. La grue est partie ; seule la plume reste, plaintive.","Una piuma della gru che portava gli immortali. La gru è andata; resta solo la piuma, a gemere.","Una pluma de la grulla que llevaba a los inmortales. La grulla se fue; solo queda la pluma, gimiendo.",仙人を乗せた鶴の羽根。鶴は去り、羽根だけが残って啼く。,"Φτερό του γερανού που κουβαλούσε τους αθάνατους. Ο γερανός έφυγε· μένει μόνο το φτερό, θρηνώντας.",曾载仙人的鹤之羽。鹤已离去，唯羽独留，哀鸣不止。,曾載仙人的鶴之羽。鶴已離去，唯羽獨留，哀鳴不止。,"Перо журавля, что носил бессмертных. Журавль улетел; осталось одно перо, плачущее.","Uma pena do grou que levava os imortais. O grou partiu; resta só a pena, a gemer.","Pióro żurawia, co nosił nieśmiertelnych. Żuraw odszedł; zostało samo pióro, kwilące.","Eine Feder des Kranichs, der Unsterbliche trug. Der Kranich ist fort; allein die Feder bleibt und klagt."
relic.sacred_scroll_1.lore,전당이 남긴 첫 두루마리. 첫 줄은 늘 같다 — '또다시.',The first scroll the Hall left behind. Its opening line is always the same: 'Once more.',Le premier parchemin laissé par le Sanctuaire. Sa première ligne est toujours la même : « Encore une fois. »,La prima pergamena lasciata dalla Sala. La prima riga è sempre la stessa: «Ancora una volta».,El primer pergamino que dejó el Santuario. Su primera línea es siempre la misma: «Una vez más».,殿堂が遺した最初の巻物。最初の一行はいつも同じ――「再びだ」。,Ο πρώτος κύλινδρος που άφησε η Αίθουσα. Η πρώτη γραμμή είναι πάντα η ίδια: «Άλλη μια φορά».,殿堂留下的第一卷。开篇之句始终如一——「再来一次」。,殿堂留下的第一卷。開篇之句始終如一——「再來一次」。,"Первый свиток, оставленный Чертогом. Первая строка всегда одна: «Ещё раз».",O primeiro pergaminho que o Salão deixou. A primeira linha é sempre a mesma: «Mais uma vez».,"Pierwszy zwój, który zostawiła Sala. Pierwszy wers zawsze ten sam: „Jeszcze raz”.","Die erste Schriftrolle, die die Halle hinterließ. Ihre erste Zeile ist stets dieselbe: „Noch einmal.“"
relic.sacred_scroll_2.lore,두 번째 두루마리. 읽을 때마다 글자가 한 줄씩 줄어든다.,"The second scroll. With each reading, one line fewer remains.","Le deuxième parchemin. À chaque lecture, une ligne de moins demeure.","La seconda pergamena. A ogni lettura, resta una riga in meno.","El segundo pergamino. Con cada lectura, queda una línea menos.",二つ目の巻物。読むたびに、一行ずつ文字が減ってゆく。,"Ο δεύτερος κύλινδρος. Με κάθε ανάγνωση, μένει μια γραμμή λιγότερη.",第二卷。每读一回，便少一行字。,第二卷。每讀一回，便少一行字。,Второй свиток. С каждым прочтением остаётся на строку меньше.,"O segundo pergaminho. A cada leitura, resta uma linha a menos.",Drugi zwój. Z każdym czytaniem zostaje o wers mniej.,Die zweite Schriftrolle. Mit jedem Lesen bleibt eine Zeile weniger.
relic.sacred_scroll_3.lore,마지막 두루마리. 끝맺는 문장이 영영 적히지 않았다.,The last scroll. Its closing sentence was never written.,Le dernier parchemin. Sa phrase finale ne fut jamais écrite.,L'ultima pergamena. La frase conclusiva non fu mai scritta.,El último pergamino. Su frase final nunca se escribió.,最後の巻物。結びの一文は、遂に記されなかった。,Ο τελευταίος κύλινδρος. Η καταληκτική πρόταση δεν γράφτηκε ποτέ.,最后一卷。那收尾的句子，永未写下。,最後一卷。那收尾的句子，永未寫下。,Последний свиток. Его завершающая фраза так и не была написана.,O último pergaminho. A frase final nunca foi escrita.,Ostatni zwój. Zdania kończącego nigdy nie zapisano.,Die letzte Schriftrolle. Ihr Schlusssatz wurde nie geschrieben.
relic.swift_seal.lore,서두르라 새겨진 인장. 어느 길로 가든 같은 곳에 닿건만.,A seal graven 'make haste' — though every road arrives at the same place.,Un sceau gravé « hâte-toi » — bien que toute route mène au même lieu.,Un sigillo inciso «affréttati» — benché ogni strada giunga allo stesso luogo.,Un sello grabado «date prisa» — aunque todo camino llegue al mismo lugar.,「急げ」と刻まれた印。どの道を行けど、同じ場所に着くというのに。,Σφραγίδα χαραγμένη «βιάσου» — μ' όλο που κάθε δρόμος φτάνει στο ίδιο μέρος.,刻着「速行」的印——纵然条条路都通向同一处。,刻著「速行」的印——縱然條條路都通向同一處。,Печать с надписью «спеши» — хотя любая дорога приводит в одно и то же место.,Um selo gravado «apressa-te» — embora toda estrada chegue ao mesmo lugar.,Pieczęć z napisem „spiesz się” — choć każda droga wiedzie w to samo miejsce.,Ein Siegel mit der Gravur „eile“ — obwohl jeder Weg am selben Ort endet.
relic.time_hourglass.lore,시간을 모으는 모래시계. 모인 시간은 어디로도 흐르지 않는다.,An hourglass that hoards time. The time it hoards flows nowhere.,Un sablier qui amasse le temps. Le temps amassé ne s'écoule nulle part.,Una clessidra che accumula il tempo. Il tempo accumulato non scorre da nessuna parte.,Un reloj de arena que atesora el tiempo. El tiempo atesorado no fluye a ninguna parte.,時を蓄える砂時計。蓄えた時は、どこへも流れない。,Κλεψύδρα που μαζεύει τον χρόνο. Ο χρόνος που μαζεύει δεν ρέει πουθενά.,积存时间的沙漏。所积之时，无处流淌。,積存時間的沙漏。所積之時，無處流淌。,"Песочные часы, что копят время. Накопленное время не течёт никуда.",Uma ampulheta que acumula o tempo. O tempo acumulado não flui a lugar nenhum.,"Klepsydra, co gromadzi czas. Zgromadzony czas nigdzie nie płynie.","Eine Sanduhr, die Zeit hortet. Die gehortete Zeit fließt nirgendwohin."
